lng,lat,Mz,SRT,SK
118.271752,38.469534,5.74835,2.227276314,-1.674495617
118.271871,38.496798,6.0225,1.801598249,0.802031005
118.306493,38.49672,6.57115,1.463540289,1.010327584
118.306482,38.469494,6.702575,1.480561842,-0.786633768
118.306596,38.442483,5.949875,1.540401728,1.340932382
118.306461,38.415054,5.1615,2.335702303,1.072210666
118.306438,38.387788,4.3932,0.883200861,0.857298947
118.306575,38.360825,4.278775,0.909249415,0.933219941
118.306445,38.333118,4.136425,0.790459183,0.653350389
118.306561,38.305936,3.800675,0.542903808,-0.3830589
118.306587,38.278669,3.9036,0.640864291,-0.289446259
118.306605,38.25162,3.85985,0.551074385,-0.38607784
118.306401,38.224105,3.79935,0.483207593,0.562567029
118.306482,38.196836,3.41,0.609261848,0.618710139
118.30679,38.170156,4.049675,1.083187377,1.356862385
118.341188,38.169484,3.53515,0.821151312,0.698343508
118.341536,38.197126,3.9284,1.128438496,1.391819349
118.340846,38.224118,4.285325,1.007373885,1.220898786
118.340976,38.251587,3.776975,0.675978808,-0.631091149
118.341021,38.278714,3.96085,0.62594311,0.328237298
118.341109,38.305948,4.1897,0.81768815,0.606002777
118.341074,38.333241,3.926125,0.667433506,0.487244857
118.34097,38.360594,3.79065,0.860151195,-0.773030107
118.340837,38.388033,4.438525,0.907301397,0.947130879
118.341057,38.415073,4.729425,0.630556635,0.520407181
118.340927,38.442226,5.4795,1.554084859,1.542751008
118.340881,38.469602,6.451,1.432296757,0.947749735
118.340936,38.49681,6.413875,1.951097764,-1.649552765
118.375661,38.496876,6.9058,1.428701809,0.925659109
118.375585,38.469531,5.8746,1.696555286,1.319759332
118.375585,38.442481,5.113375,1.309664503,1.322413889
118.375608,38.415143,5.227875,1.543947209,1.533765997
118.375594,38.388009,5.423375,1.772876507,1.627146325
118.375586,38.360758,4.48395,0.852198567,0.861550823
118.375589,38.333131,4.5659,0.841379635,1.025558478
118.375653,38.306055,4.0289,0.819292249,0.180948544
118.375767,38.278798,3.984175,0.508760326,0.389875425
118.37575,38.25151,3.84815,0.655079444,0.174125751
118.375463,38.22421,4.1695,1.017285481,1.3523924
118.375769,38.196783,3.752275,0.741894416,0.963347802
118.376031,38.169549,3.862475,0.961177338,1.244092555
118.410383,38.142131,4.0378,1.473345228,1.643208879
118.410769,38.168549,3.796225,0.894790897,1.158775291
118.41027,38.19674,4.519275,1.285876539,1.422061822
118.410212,38.22413,4.205375,1.095409106,1.366199682
118.410537,38.251609,3.79145,0.485831141,0.242640119
118.410482,38.278831,4.49735,1.148876833,1.422244407
118.410355,38.305978,4.054825,0.571779432,0.389984531
118.410336,38.333303,4.482125,1.008187971,1.289791917
118.410353,38.360622,4.186775,0.650809188,0.563215383
118.410344,38.387976,5.38165,1.400377013,1.406010261
118.410352,38.415081,4.778025,0.839919401,0.897976759
118.410377,38.44226,6.159875,1.423456176,1.065832288
118.410435,38.469571,6.35885,1.465158414,1.107998362
118.410316,38.496772,6.589825,1.655496593,-1.004917099
118.444919,38.49681,6.4374,1.452013685,0.971571374
118.444917,38.469516,6.4796,1.462060649,0.995347548
118.444807,38.442327,6.549775,1.513327443,0.896621735
